,Label
146.0,Stable
147.0,Stable
148.0,Stable
149.0,Stable
150.0,Stable
151.0,Stable
152.0,Stable
153.0,Stable
154.0,Stable
155.0,Stable
156.0,Stable
157.0,Stable
158.0,Stable
159.0,Stable
160.0,Stable
161.0,Stable
162.0,Stable
163.0,Stable
164.0,Stable
165.0,Stable
166.0,Stable
167.0,Stable
168.0,Stable
169.0,Stable
170.0,Stable
171.0,Stable
172.0,Stable
173.0,Stable
174.0,Stable
175.0,Stable
176.0,Stable
177.0,Stable
178.0,Stable
179.0,Stable
180.0,Stable
181.0,Stable
182.0,Stable
183.0,Stable
184.0,Stable
185.0,Stable
186.0,Stable
187.0,Stable
188.0,Stable
189.0,Stable
190.0,Stable
191.0,Stable
192.0,Stable
193.0,Stable
194.0,Stable
195.0,Stable
196.0,Stable
197.0,Stable
198.0,Stable
199.0,Stable
200.0,Stable
201.0,Stable
202.0,Stable
203.0,Stable
204.0,Stable
205.0,Stable
206.0,Stable
207.0,Stable
208.0,Stable
209.0,Stable
210.0,Stable
211.0,Stable
212.0,Stable
213.0,Stable
214.0,Stable
215.0,Stable
216.0,Stable
217.0,Stable
218.0,Stable
219.0,Stable
220.0,Stable
221.0,Stable
222.0,Stable
223.0,Stable
224.0,Stable
225.0,Stable
226.0,Stable
227.0,Stable
228.0,Stable
229.0,Stable
230.0,Stable
231.0,Stable
232.0,Stable
233.0,Stable
234.0,Stable
235.0,Stable
236.0,Stable
237.0,Stable
238.0,Stable
239.0,Stable
240.0,Stable
241.0,Stable
242.0,Stable
243.0,Stable
244.0,Stable
245.0,Stable
246.0,Stable
247.0,Stable
248.0,Stable
249.0,Stable
250.0,Stable
251.0,Stable
252.0,Stable
253.0,Stable
254.0,Stable
255.0,Stable
256.0,Stable
257.0,Stable
258.0,Stable
259.0,Stable
260.0,Stable
261.0,Stable
262.0,Stable
263.0,Stable
264.0,Stable
265.0,Stable
266.0,Stable
267.0,Stable
268.0,Stable
269.0,Stable
270.0,Stable
271.0,Stable
272.0,Stable
273.0,Stable
274.0,Stable
275.0,Stable
276.0,Stable
277.0,Stable
278.0,Stable
279.0,Stable
280.0,Stable
281.0,Stable
282.0,Stable
283.0,Stable
284.0,Stable
285.0,Stable
286.0,Stable
287.0,Stable
288.0,Stable
289.0,Stable
290.0,Stable
291.0,Stable
292.0,Stable
293.0,Stable
294.0,Stable
295.0,Stable
296.0,Stable
297.0,Stable
298.0,Stable
299.0,Stable
300.0,Stable
301.0,Stable
302.0,Stable
303.0,Stable
304.0,Stable
305.0,Stable
306.0,Stable
307.0,Stable
308.0,Stable
309.0,Stable
310.0,Stable
311.0,Stable
312.0,Stable
313.0,Stable
314.0,Stable
315.0,Stable
316.0,Stable
317.0,Stable
318.0,Stable
319.0,Stable
320.0,Stable
321.0,Stable
322.0,Stable
323.0,Stable
324.0,Stable
325.0,Stable
326.0,Stable
327.0,Stable
328.0,Stable
329.0,Stable
330.0,Stable
331.0,Stable
332.0,Stable
333.0,Stable
334.0,Stable
335.0,Stable
336.0,Stable
337.0,Stable
338.0,Stable
339.0,Stable
340.0,Stable
341.0,Stable
342.0,Stable
343.0,Stable
344.0,Stable
345.0,Stable
346.0,Stable
347.0,Stable
348.0,Stable
349.0,Stable
350.0,Stable
351.0,Stable
352.0,Stable
353.0,Stable
354.0,Stable
355.0,Stable
356.0,Stable
357.0,Stable
358.0,Stable
359.0,Stable
360.0,Stable
361.0,Stable
362.0,Stable
363.0,Stable
364.0,Stable
365.0,Stable
366.0,Stable
367.0,Stable
368.0,Stable
369.0,Stable
370.0,Stable
371.0,Stable
372.0,Stable
373.0,Stable
374.0,Stable
375.0,Stable
376.0,Stable
377.0,Stable
378.0,Stable
379.0,Stable
380.0,Stable
381.0,Stable
382.0,Stable
383.0,Stable
384.0,Stable
385.0,Stable
386.0,Stable
387.0,Stable
388.0,Stable
389.0,Stable
390.0,Stable
391.0,Stable
392.0,Stable
393.0,Stable
394.0,Stable
395.0,Stable
396.0,Stable
397.0,Stable
398.0,Stable
399.0,Stable
400.0,Stable
401.0,Stable
402.0,Stable
403.0,Stable
404.0,Stable
405.0,Stable
406.0,Stable
407.0,Stable
408.0,Stable
409.0,Stable
410.0,Stable
411.0,Stable
412.0,Stable
413.0,Stable
414.0,Stable
415.0,Stable
416.0,Stable
417.0,Stable
418.0,Stable
419.0,Stable
420.0,Stable
421.0,Stable
422.0,Stable
423.0,Stable
424.0,Stable
425.0,Stable
426.0,Stable
427.0,Stable
428.0,Stable
429.0,Stable
430.0,Stable
431.0,Stable
432.0,Stable
433.0,Stable
434.0,Stable
435.0,Stable
436.0,Stable
437.0,Stable
438.0,Stable
439.0,Stable
440.0,Stable
441.0,Stable
442.0,Stable
443.0,Stable
444.0,Stable
445.0,Stable
446.0,Stable
447.0,Stable
448.0,Stable
449.0,Stable
450.0,Stable
451.0,Stable
452.0,Stable
453.0,Stable
454.0,Stable
455.0,Stable
456.0,Stable
457.0,Stable
458.0,Stable
459.0,Stable
460.0,Stable
461.0,Stable
462.0,Stable
463.0,Stable
464.0,Stable
465.0,Stable
466.0,Stable
467.0,Stable
468.0,Stable
469.0,Stable
470.0,Stable
471.0,Stable
472.0,Stable
473.0,Stable
474.0,Stable
475.0,Stable
476.0,Stable
477.0,Stable
478.0,Stable
479.0,Stable
480.0,Stable
481.0,Stable
482.0,Stable
483.0,Stable
484.0,Stable
485.0,Stable
486.0,Stable
487.0,Stable
488.0,Stable
489.0,Stable
490.0,Stable
491.0,Stable
492.0,Stable
493.0,Stable
494.0,Stable
495.0,Stable
496.0,Stable
497.0,Stable
498.0,Stable
499.0,Stable
500.0,Stable
501.0,Stable
502.0,Stable
503.0,Stable
504.0,Stable
505.0,Stable
506.0,Stable
507.0,Stable
508.0,Stable
509.0,Stable
510.0,Stable
511.0,Stable
512.0,Stable
513.0,Stable
514.0,Stable
515.0,Stable
516.0,Stable
517.0,Stable
518.0,Stable
519.0,Stable
520.0,Stable
521.0,Stable
522.0,Stable
523.0,Stable
524.0,Stable
525.0,Stable
526.0,Stable
527.0,Stable
528.0,Stable
529.0,Stable
530.0,Stable
531.0,Stable
532.0,Stable
533.0,Stable
534.0,Stable
535.0,Stable
536.0,Stable
537.0,Stable
538.0,Stable
539.0,Stable
540.0,Stable
541.0,Stable
542.0,Stable
543.0,Stable
544.0,Stable
545.0,Stable
546.0,Stable
547.0,Stable
548.0,Stable
549.0,Stable
550.0,Stable
551.0,Stable
552.0,Stable
553.0,Stable
554.0,Stable
555.0,Stable
556.0,Stable
557.0,Stable
558.0,Stable
559.0,Stable
560.0,Stable
561.0,Stable
562.0,Stable
563.0,Stable
564.0,Stable
565.0,Stable
566.0,Stable
567.0,Stable
568.0,Stable
569.0,Stable
570.0,Stable
571.0,Stable
572.0,Stable
573.0,Stable
574.0,Stable
575.0,Stable
576.0,Stable
577.0,Stable
578.0,Stable
579.0,Stable
580.0,Stable
581.0,Stable
582.0,Stable
583.0,Stable
584.0,Stable
585.0,Stable
586.0,Stable
587.0,Stable
588.0,Stable
589.0,Stable
590.0,Stable
591.0,Stable
592.0,Stable
593.0,Stable
594.0,Stable
595.0,Stable
596.0,Stable
597.0,Stable
598.0,Stable
599.0,Stable
600.0,Stable
601.0,Stable
602.0,Stable
603.0,Stable
604.0,Stable
605.0,Stable
606.0,Stable
607.0,Stable
608.0,Stable
609.0,Stable
610.0,Stable
611.0,Stable
612.0,Stable
613.0,Stable
614.0,Stable
615.0,Stable
616.0,Stable
617.0,Stable
618.0,Stable
619.0,Stable
620.0,Stable
621.0,Stable
622.0,Stable
623.0,Stable
624.0,Stable
625.0,Stable
626.0,Stable
627.0,Stable
628.0,Stable
629.0,Stable
630.0,Stable
631.0,Stable
632.0,Stable
633.0,Stable
634.0,Stable
635.0,Stable
636.0,Stable
637.0,Stable
638.0,Stable
639.0,Stable
640.0,Stable
641.0,Stable
642.0,Stable
643.0,Stable
644.0,Stable
645.0,Stable
646.0,Stable
647.0,Stable
648.0,Stable
649.0,Stable
650.0,Stable
651.0,Stable
652.0,Stable
653.0,Stable
654.0,Stable
655.0,Stable
656.0,Stable
657.0,Stable
658.0,Stable
659.0,Stable
660.0,Stable
661.0,Stable
662.0,Stable
663.0,Stable
664.0,Stable
665.0,Stable
666.0,Stable
667.0,Stable
668.0,Stable
669.0,Stable
670.0,Stable
671.0,Stable
672.0,Stable
673.0,Stable
674.0,Stable
675.0,Stable
676.0,Stable
677.0,Stable
678.0,Stable
679.0,Stable
680.0,Stable
681.0,Stable
682.0,Stable
683.0,Stable
684.0,Stable
685.0,Stable
686.0,Stable
687.0,Stable
688.0,Stable
689.0,Stable
690.0,Stable
691.0,Stable
692.0,Stable
693.0,Stable
694.0,Stable
695.0,Stable
696.0,Stable
697.0,Stable
698.0,Stable
699.0,Stable
700.0,Stable
701.0,Stable
702.0,Stable
703.0,Stable
704.0,Stable
705.0,Stable
706.0,Stable
707.0,Stable
708.0,Stable
709.0,Stable
710.0,Stable
711.0,Stable
712.0,Stable
713.0,Stable
714.0,Stable
715.0,Stable
716.0,Stable
717.0,Stable
718.0,Stable
719.0,Stable
720.0,Stable
721.0,Stable
722.0,Stable
723.0,Stable
724.0,Stable
725.0,Stable
726.0,Stable
727.0,Stable
728.0,Stable
729.0,Stable
730.0,Stable
731.0,Stable
732.0,Stable
733.0,Stable
734.0,Stable
735.0,Stable
736.0,Stable
737.0,Stable
738.0,Stable
739.0,Stable
740.0,Stable
741.0,Stable
742.0,Stable
743.0,Stable
744.0,Stable
745.0,Stable
746.0,Stable
747.0,Stable
748.0,Stable
749.0,Stable
750.0,Stable
751.0,Stable
752.0,Stable
753.0,Stable
754.0,Stable
755.0,Stable
756.0,Stable
757.0,Stable
758.0,Stable
759.0,Stable
760.0,Stable
761.0,Stable
762.0,Stable
763.0,Stable
764.0,Stable
765.0,Stable
766.0,Stable
767.0,Stable
768.0,Stable
769.0,Stable
770.0,Stable
771.0,Stable
772.0,Stable
773.0,Stable
774.0,Stable
775.0,Stable
776.0,Stable
777.0,Stable
778.0,Stable
779.0,Stable
780.0,Stable
781.0,Stable
782.0,Stable
783.0,Stable
784.0,Stable
785.0,Stable
786.0,Stable
787.0,Stable
788.0,Stable
789.0,Stable
790.0,Stable
791.0,Stable
792.0,Stable
793.0,Stable
794.0,Stable
795.0,Stable
796.0,Stable
797.0,Stable
798.0,Stable
799.0,Stable
800.0,Stable
801.0,Stable
802.0,Stable
803.0,Stable
804.0,Stable
805.0,Stable
806.0,Stable
807.0,Stable
808.0,Stable
809.0,Stable
810.0,Stable
811.0,Stable
812.0,Stable
813.0,Stable
814.0,Stable
815.0,Stable
816.0,Stable
817.0,Stable
818.0,Stable
819.0,Stable
820.0,Stable
821.0,Stable
822.0,Stable
823.0,Stable
824.0,Stable
825.0,Stable
826.0,Stable
827.0,Stable
828.0,Stable
829.0,Stable
830.0,Stable
831.0,Stable
832.0,Stable
833.0,Stable
834.0,Stable
835.0,Stable
836.0,Stable
837.0,Stable
838.0,Stable
839.0,Stable
840.0,Stable
841.0,Stable
842.0,Stable
843.0,Stable
844.0,Stable
845.0,Stable
846.0,Stable
847.0,Stable
848.0,Stable
849.0,Stable
850.0,Stable
851.0,Stable
852.0,Stable
853.0,Stable
854.0,Stable
855.0,Stable
856.0,Stable
857.0,Stable
858.0,Stable
859.0,Stable
860.0,Stable
861.0,Stable
862.0,Stable
863.0,Stable
864.0,Stable
865.0,Stable
866.0,Stable
867.0,Stable
868.0,Stable
869.0,Stable
870.0,Stable
871.0,Stable
872.0,Stable
873.0,Stable
874.0,Stable
875.0,Stable
876.0,Stable
877.0,Stable
878.0,Stable
879.0,Stable
880.0,Stable
881.0,Stable
882.0,Stable
883.0,Stable
884.0,Stable
885.0,Stable
886.0,Stable
887.0,Stable
888.0,Stable
889.0,Stable
890.0,Stable
891.0,Stable
892.0,Stable
893.0,Stable
894.0,Stable
895.0,Stable
896.0,Stable
897.0,Stable
898.0,Stable
899.0,Stable
900.0,Stable
901.0,Stable
902.0,Stable
903.0,Stable
904.0,Stable
905.0,Stable
906.0,Stable
907.0,Stable
908.0,Stable
909.0,Stable
910.0,Stable
911.0,Stable
912.0,Stable
913.0,Stable
914.0,Stable
915.0,Stable
916.0,Stable
917.0,Stable
918.0,Stable
919.0,Stable
920.0,Stable
921.0,Stable
922.0,Stable
923.0,Stable
924.0,Stable
925.0,Stable
926.0,Stable
927.0,Stable
928.0,Stable
929.0,Stable
930.0,Stable
931.0,Stable
932.0,Stable
933.0,Stable
934.0,Stable
935.0,Stable
936.0,Stable
937.0,Stable
938.0,Stable
939.0,Stable
940.0,Stable
941.0,Stable
942.0,Stable
943.0,Stable
944.0,Stable
945.0,Stable
946.0,Stable
947.0,Stable
948.0,Stable
949.0,Stable
950.0,Stable
951.0,Stable
952.0,Stable
953.0,Stable
954.0,Stable
955.0,Stable
956.0,Stable
957.0,Stable
958.0,Stable
959.0,Stable
960.0,Stable
961.0,Stable
962.0,Stable
963.0,Stable
964.0,Stable
965.0,Stable
966.0,Stable
967.0,Stable
968.0,Stable
969.0,Stable
970.0,Minimum Sway
971.0,Minimum Sway
972.0,Minimum Sway
973.0,Minimum Sway
974.0,Minimum Sway
975.0,Minimum Sway
976.0,Minimum Sway
977.0,Minimum Sway
978.0,Minimum Sway
979.0,Minimum Sway
980.0,Minimum Sway
981.0,Minimum Sway
982.0,Minimum Sway
983.0,Minimum Sway
984.0,Minimum Sway
985.0,Minimum Sway
986.0,Minimum Sway
987.0,Minimum Sway
988.0,Minimum Sway
989.0,Minimum Sway
990.0,Minimum Sway
991.0,Minimum Sway
992.0,Minimum Sway
993.0,Minimum Sway
994.0,Minimum Sway
995.0,Minimum Sway
996.0,Minimum Sway
997.0,Minimum Sway
998.0,Minimum Sway
999.0,Minimum Sway
1000.0,Minimum Sway
1001.0,Minimum Sway
1002.0,Minimum Sway
1003.0,Minimum Sway
1004.0,Minimum Sway
1005.0,Minimum Sway
1006.0,Minimum Sway
1007.0,Minimum Sway
1008.0,Minimum Sway
1009.0,Minimum Sway
1010.0,Minimum Sway
1011.0,Minimum Sway
1012.0,Minimum Sway
1013.0,Minimum Sway
1014.0,Minimum Sway
1015.0,Minimum Sway
1016.0,Minimum Sway
1017.0,Minimum Sway
1018.0,Minimum Sway
1019.0,Minimum Sway
1020.0,Minimum Sway
1021.0,Minimum Sway
1022.0,Minimum Sway
1023.0,Minimum Sway
1024.0,Minimum Sway
1025.0,Minimum Sway
1026.0,Minimum Sway
1027.0,Minimum Sway
1028.0,Minimum Sway
1029.0,Minimum Sway
1030.0,Minimum Sway
1031.0,Minimum Sway
1032.0,Minimum Sway
1033.0,Minimum Sway
1034.0,Minimum Sway
1035.0,Minimum Sway
1036.0,Minimum Sway
1037.0,Minimum Sway
1038.0,Minimum Sway
1039.0,Minimum Sway
1040.0,Minimum Sway
1041.0,Minimum Sway
1042.0,Minimum Sway
1043.0,Minimum Sway
1044.0,Minimum Sway
1045.0,Minimum Sway
1046.0,Minimum Sway
1047.0,Minimum Sway
1048.0,Minimum Sway
1049.0,Minimum Sway
1050.0,Minimum Sway
1051.0,Minimum Sway
1052.0,Minimum Sway
1053.0,Minimum Sway
1054.0,Minimum Sway
1055.0,Minimum Sway
1056.0,Minimum Sway
1057.0,Minimum Sway
1058.0,Minimum Sway
1059.0,Minimum Sway
1060.0,Minimum Sway
1061.0,Minimum Sway
1062.0,Minimum Sway
1063.0,Minimum Sway
1064.0,Minimum Sway
1065.0,Minimum Sway
1066.0,Minimum Sway
1067.0,Minimum Sway
1068.0,Minimum Sway
1069.0,Minimum Sway
1070.0,Minimum Sway
1071.0,Minimum Sway
1072.0,Minimum Sway
1073.0,Minimum Sway
1074.0,Minimum Sway
1075.0,Minimum Sway
1076.0,Minimum Sway
1077.0,Minimum Sway
1078.0,Minimum Sway
1079.0,Minimum Sway
1080.0,Minimum Sway
1081.0,Minimum Sway
1082.0,Minimum Sway
1083.0,Minimum Sway
1084.0,Minimum Sway
1085.0,Minimum Sway
1086.0,Minimum Sway
1087.0,Minimum Sway
1088.0,Minimum Sway
1089.0,Minimum Sway
1090.0,Minimum Sway
1091.0,Minimum Sway
1092.0,Minimum Sway
1093.0,Minimum Sway
1094.0,Minimum Sway
1095.0,Minimum Sway
1096.0,Minimum Sway
1097.0,Minimum Sway
1098.0,Minimum Sway
1099.0,Minimum Sway
1100.0,Minimum Sway
1101.0,Minimum Sway
1102.0,Minimum Sway
1103.0,Minimum Sway
1104.0,Minimum Sway
1105.0,Minimum Sway
1106.0,Minimum Sway
1107.0,Minimum Sway
1108.0,Minimum Sway
1109.0,Minimum Sway
1110.0,Minimum Sway
1111.0,Minimum Sway
1112.0,Minimum Sway
1113.0,Minimum Sway
1114.0,Minimum Sway
1115.0,Minimum Sway
1116.0,Minimum Sway
1117.0,Minimum Sway
1118.0,Minimum Sway
1119.0,Minimum Sway
1120.0,Minimum Sway
1121.0,Minimum Sway
1122.0,Minimum Sway
1123.0,Minimum Sway
1124.0,Minimum Sway
1125.0,Minimum Sway
1126.0,Minimum Sway
1127.0,Minimum Sway
1128.0,Minimum Sway
1129.0,Minimum Sway
1130.0,Minimum Sway
1131.0,Minimum Sway
1132.0,Minimum Sway
1133.0,Minimum Sway
1134.0,Minimum Sway
1135.0,Minimum Sway
1136.0,Minimum Sway
1137.0,Minimum Sway
1138.0,Minimum Sway
1139.0,Minimum Sway
1140.0,Minimum Sway
1141.0,Minimum Sway
1142.0,Minimum Sway
1143.0,Minimum Sway
1144.0,Minimum Sway
1145.0,Minimum Sway
1146.0,Minimum Sway
1147.0,Minimum Sway
1148.0,Minimum Sway
1149.0,Minimum Sway
1150.0,Minimum Sway
1151.0,Minimum Sway
1152.0,Minimum Sway
1153.0,Minimum Sway
1154.0,Minimum Sway
1155.0,Minimum Sway
1156.0,Minimum Sway
1157.0,Minimum Sway
1158.0,Minimum Sway
1159.0,Minimum Sway
1160.0,Minimum Sway
1161.0,Minimum Sway
1162.0,Minimum Sway
1163.0,Minimum Sway
1164.0,Minimum Sway
1165.0,Minimum Sway
1166.0,Minimum Sway
1167.0,Minimum Sway
1168.0,Minimum Sway
1169.0,Minimum Sway
1170.0,Minimum Sway
1171.0,Minimum Sway
1172.0,Minimum Sway
1173.0,Minimum Sway
1174.0,Minimum Sway
1175.0,Minimum Sway
1176.0,Minimum Sway
1177.0,Minimum Sway
1178.0,Minimum Sway
1179.0,Minimum Sway
1180.0,Minimum Sway
1181.0,Minimum Sway
1182.0,Minimum Sway
1183.0,Minimum Sway
1184.0,Minimum Sway
1185.0,Minimum Sway
1186.0,Minimum Sway
1187.0,Minimum Sway
1188.0,Minimum Sway
1189.0,Minimum Sway
1190.0,Minimum Sway
1191.0,Minimum Sway
1192.0,Minimum Sway
1193.0,Stable
1194.0,Stable
1195.0,Stable
1196.0,Stable
1197.0,Stable
1198.0,Stable
1199.0,Stable
1200.0,Stable
1201.0,Stable
1202.0,Stable
1203.0,Stable
1204.0,Stable
1205.0,Stable
1206.0,Stable
1207.0,Stable
1208.0,Stable
1209.0,Stable
1210.0,Stable
1211.0,Stable
1212.0,Stable
1213.0,Stable
1214.0,Stable
1215.0,Stable
1216.0,Stable
1217.0,Stable
1218.0,Stable
1219.0,Stable
1220.0,Stable
1221.0,Stable
1222.0,Stable
1223.0,Stable
1224.0,Stable
1225.0,Stable
1226.0,Stable
1227.0,Stable
1228.0,Stable
1229.0,Stable
1230.0,Stable
1231.0,Stable
1232.0,Stable
1233.0,Stable
1234.0,Stable
1235.0,Stable
1236.0,Stable
1237.0,Stable
1238.0,Stable
1239.0,Stable
1240.0,Stable
1241.0,Stable
1242.0,Stable
1243.0,Stable
1244.0,Stable
1245.0,Stable
1246.0,Stable
1247.0,Stable
1248.0,Stable
1249.0,Stable
1250.0,Stable
1251.0,Stable
1252.0,Stable
1253.0,Stable
1254.0,Stable
1255.0,Stable
1256.0,Stable
1257.0,Stable
1258.0,Stable
1259.0,Stable
1260.0,Stable
1261.0,Stable
1262.0,Stable
1263.0,Stable
1264.0,Stable
1265.0,Stable
1266.0,Stable
1267.0,Stable
1268.0,Stable
1269.0,Stable
1270.0,Stable
1271.0,Stable
1272.0,Stable
1273.0,Stable
1274.0,Stable
1275.0,Stable
1276.0,Stable
1277.0,Stable
1278.0,Stable
1279.0,Stable
1280.0,Stable
1281.0,Stable
1282.0,Stable
1283.0,Stable
1284.0,Stable
1285.0,Stable
1286.0,Stable
1287.0,Stable
1288.0,Stable
1289.0,Stable
1290.0,Stable
1291.0,Stable
1292.0,Stable
1293.0,Stable
1294.0,Stable
1295.0,Stable
1296.0,Stable
1297.0,Stable
1298.0,Stable
1299.0,Stable
1300.0,Stable
1301.0,Stable
1302.0,Stable
1303.0,Stable
1304.0,Stable
1305.0,Stable
1306.0,Stable
1307.0,Stable
1308.0,Stable
1309.0,Stable
1310.0,Stable
1311.0,Stable
1312.0,Stable
1313.0,Stable
1314.0,Stable
1315.0,Stable
1316.0,Stable
1317.0,Stable
1318.0,Stable
1319.0,Stable
1320.0,Stable
1321.0,Stable
1322.0,Stable
1323.0,Stable
1324.0,Stable
1325.0,Stable
1326.0,Stable
1327.0,Stable
1328.0,Stable
1329.0,Stable
1330.0,Stable
1331.0,Stable
1332.0,Stable
1333.0,Stable
1334.0,Stable
1335.0,Stable
1336.0,Stable
1337.0,Stable
1338.0,Stable
1339.0,Stable
1340.0,Stable
1341.0,Stable
1342.0,Stable
1343.0,Stable
1344.0,Stable
1345.0,Stable
1346.0,Stable
1347.0,Stable
1348.0,Stable
1349.0,Stable
1350.0,Stable
1351.0,Stable
1352.0,Stable
1353.0,Stable
1354.0,Stable
1355.0,Stable
1356.0,Stable
1357.0,Stable
1358.0,Stable
1359.0,Stable
1360.0,Stable
1361.0,Stable
1362.0,Stable
1363.0,Stable
1364.0,Stable
1365.0,Stable
1366.0,Stable
1367.0,Stable
1368.0,Stable
1369.0,Stable
1370.0,Stable
1371.0,Stable
1372.0,Stable
1373.0,Stable
1374.0,Stable
1375.0,Stable
1376.0,Stable
1377.0,Stable
1378.0,Stable
1379.0,Stable
1380.0,Stable
1381.0,Stable
1382.0,Stable
1383.0,Stable
1384.0,Stable
1385.0,Stable
1386.0,Stable
1387.0,Stable
1388.0,Stable
1389.0,Stable
1390.0,Stable
1391.0,Stable
1392.0,Stable
1393.0,Stable
1394.0,Stable
1395.0,Stable
1396.0,Stable
1397.0,Stable
1398.0,Stable
1399.0,Stable
1400.0,Stable
1401.0,Stable
1402.0,Stable
1403.0,Stable
1404.0,Stable
1405.0,Stable
1406.0,Stable
1407.0,Stable
1408.0,Stable
1409.0,Stable
1410.0,Stable
1411.0,Stable
1412.0,Stable
1413.0,Stable
1414.0,Stable
1415.0,Stable
1416.0,Stable
1417.0,Stable
1418.0,Stable
1419.0,Stable
1420.0,Stable
1421.0,Stable
1422.0,Stable
1423.0,Stable
1424.0,Stable
1425.0,Stable
1426.0,Stable
1427.0,Stable
1428.0,Stable
1429.0,Stable
1430.0,Stable
1431.0,Stable
1432.0,Stable
1433.0,Stable
1434.0,Stable
1435.0,Stable
1436.0,Stable
1437.0,Stable
1438.0,Stable
1439.0,Stable
1440.0,Stable
1441.0,Stable
1442.0,Stable
1443.0,Stable
1444.0,Stable
1445.0,Stable
1446.0,Stable
1447.0,Stable
1448.0,Stable
1449.0,Stable
1450.0,Stable
1451.0,Stable
1452.0,Stable
1453.0,Stable
1454.0,Stable
1455.0,Stable
1456.0,Stable
1457.0,Stable
1458.0,Stable
1459.0,Stable
1460.0,Stable
1461.0,Stable
1462.0,Stable
1463.0,Stable
1464.0,Stable
1465.0,Stable
1466.0,Stable
1467.0,Stable
1468.0,Stable
1469.0,Stable
1470.0,Stable
1471.0,Stable
1472.0,Stable
1473.0,Stable
1474.0,Stable
1475.0,Stable
1476.0,Stable
1477.0,Stable
1478.0,Stable
1479.0,Stable
1480.0,Stable
1481.0,Stable
1482.0,Stable
1483.0,Stable
1484.0,Stable
1485.0,Stable
1486.0,Stable
1487.0,Stable
1488.0,Stable
1489.0,Stable
1490.0,Stable
1491.0,Stable
1492.0,Stable
1493.0,Stable
1494.0,Stable
1495.0,Stable
1496.0,Stable
1497.0,Stable
1498.0,Stable
1499.0,Stable
1500.0,Stable
1501.0,Stable
1502.0,Stable
1503.0,Stable
1504.0,Stable
1505.0,Stable
1506.0,Stable
1507.0,Stable
1508.0,Stable
1509.0,Stable
1510.0,Stable
1511.0,Stable
1512.0,Stable
1513.0,Stable
1514.0,Stable
1515.0,Stable
1516.0,Stable
1517.0,Stable
1518.0,Stable
1519.0,Stable
1520.0,Stable
1521.0,Stable
1522.0,Stable
1523.0,Stable
1524.0,Stable
1525.0,Stable
1526.0,Stable
1527.0,Stable
1528.0,Stable
1529.0,Stable
1530.0,Stable
1531.0,Stable
1532.0,Stable
1533.0,Stable
1534.0,Stable
1535.0,Stable
1536.0,Stable
1537.0,Stable
1538.0,Stable
1539.0,Stable
1540.0,Stable
1541.0,Stable
1542.0,Stable
1543.0,Stable
1544.0,Stable
1545.0,Stable
1546.0,Stable
1547.0,Stable
1548.0,Stable
1549.0,Stable
1550.0,Stable
1551.0,Stable
1552.0,Stable
1553.0,Stable
1554.0,Stable
1555.0,Stable
1556.0,Stable
1557.0,Stable
1558.0,Stable
1559.0,Stable
1560.0,Stable
1561.0,Stable
1562.0,Stable
1563.0,Stable
1564.0,Stable
1565.0,Stable
